1	0.000230	3.012
1	0.009562	3.123
1	0.095423	3.232
1	0.100215	3.253
1	0.131548	3.220
1	0.162489	3.200
1	0.200000	3.150
1	0.225422	3.250
1	0.251548	3.312
1	0.280158	3.510
1	0.300000	3.553
1	0.335411	3.520
1	0.365144	3.510
1	0.400000	3.492
1	0.425251	3.560
1	0.451500	3.756
1	0.490548	3.850
1	0.532154	4.000
1	0.552154	4.150
1	0.580000	4.200
1	0.600000	3.990
1	0.643251	3.900
1	0.680548	4.005
1	0.700000	4.120
1	0.732548	4.250
1	0.762544	4.360
1	0.792540	4.410
1	0.800000	4.500
1	0.850000	4.653
1	0.912000	4.700
